group,file,qty per robot,size mm,how to print,done
1-test-prints,eye_hug_test.stl,1,4 x 61 x 28,Press a ball into each eye; longest stub = most grip,
1-test-prints,yaw_clamp.stl,1,86 x 86 x 9,Print NOSE UP. Check it seats on the XC330 boss,
1-test-prints,coupon_joints.stl,1,26 x 84 x 45,"BOTH arm joints, printed the way the arm prints. As loaded, do not rotate. Must turn by hand",
1-test-prints,hand_adapter.stl,1,20 x 20 x 13,Snap test with hand.stl - the hand must click on,
1-test-prints,hand.stl,1,33 x 22 x 44,Snap test with hand_adapter.stl,
2-head-and-neck,head_back.stl,1,150 x 70 x 88,Supports under the openings,
2-head-and-neck,head_mic.stl,1,118 x 40 x 9,Crown cover - easy to forget,
2-head-and-neck,s10_face_plate.stl,1,157 x 23 x 94,"Face DOWN, no supports. Galaxy S10 only",
2-head-and-neck,s10_face_cap.stl,1,13 x 21 x 76,Tongue side down,
2-head-and-neck,neck_reference.stl,1,103 x 52 x 28,20% infill,
2-head-and-neck,stewart_main_plate.stl,1,145 x 126 x 39,20% infill,
2-head-and-neck,stewart_tricap.stl,1,146 x 127 x 43,20% infill,
2-head-and-neck,rod_v6_eye_rod_122mm.stl,8,4 x 13 x 135,"6 + 2 spare. 0.15 mm layers, flat, 4 walls, 40%+ infill",
2-head-and-neck,balls_production_9.05_x6.stl,3,89 x 9 x 8,"2 plates + 1 spare. As oriented, 0.10-0.15 mm layers",
2-head-and-neck,arm_30mm.stl,8,42 x 16 x 3,"6 + 2 spare. Flat, 4 walls, 50%+ infill",
3-antennae,antenna_body.stl,2,22 x 13 x 22,One per antenna,
3-antennae,antenna_interface.stl,2,17 x 7 x 17,One per antenna,
3-antennae,antenna_holder_l.stl,1,40 x 31 x 46,20% infill,
3-antennae,antenna_holder_r.stl,1,40 x 31 x 46,20% infill,
4-body,body_top.stl,1,155 x 155 x 120,Supports under the openings. Long print. The arms screw to it,
4-body,body_down.stl,1,155 x 155 x 52,Supports under the openings,
5-base,base_body.stl,1,148 x 139 x 110,"About ten hours. Upright, no supports, 20%, PETG, bridge detection on",
5-base,base_top.stl,1,146 x 146 x 24,"Flat, upright, no supports, 25-30% infill",
5-base,yaw_rotor.stl,1,143 x 143 x 25,"Flat, upright, no supports, 25-30% infill",
5-base,yaw_clamp.stl,1,86 x 86 x 9,NOSE UP (skip if the test print passed and is kept),
5-base,u2d2_tray.stl,1,53 x 62 x 9,No supports,
5-base,base_shelf.stl,1,94 x 96 x 46,"Optional. Disc down, legs up",
6-pi-case,pi5_tray.stl,1,109 x 76 x 29,"As it loads, no supports, 20%",
6-pi-case,pi5_cover.stl,1,105 x 76 x 28,UPSIDE DOWN - roof flat on the bed,
7-arms,arm_printed_left.stl,1,54 x 158 x 97,"Joints printed in place. As loaded, DO NOT ROTATE. Support on build plate only. Never let the slicer merge/repair it",
7-arms,arm_printed_right.stl,1,54 x 158 x 97,The mirror of the left - not the same part. Same rules,
7-arms,shoulder_housing.stl,2,50 x 60 x 31,"As loaded, do not rotate. Screws to the body",
7-arms,hand.stl,2,33 x 22 x 44,Serves both arms,
7-arms,hand_adapter.stl,2,20 x 20 x 13,The hand snaps onto it,
7-arms,wrist_clamp.stl,2,28 x 26 x 4,Holds the wrist motor in its cradle,
7-arms,boss_adapter.stl,6,8 x 20 x 20,"On its side, as loaded",
7-arms,pulley_20t.stl,6,15 x 15 x 8,One per belted motor,
7-arms,pulley_40t_flange.stl,6,28 x 28 x 8,One per belted joint,
7-arms,belt_cover_roll_left.stl,1,35 x 63 x 13,"Flat, no supports",
7-arms,belt_cover_roll_right.stl,1,35 x 63 x 13,"Flat, no supports. The mirror of the left",
7-arms,belt_cover_elbow.stl,2,75 x 35 x 12,"Flat, no supports. Serves both arms",
7-arms,bushing.stl,4,16 x 16 x 5,Two per shoulder housing,
7-arms,shaft_pitch_44mm.stl,2,5 x 44 x 5,LYING DOWN,
7-arms,collar_2mm.stl,2,9 x 9 x 2,"Pitch-shaft shim - print all three sizes, fit one",
7-arms,collar_3mm.stl,2,9 x 9 x 3,Pitch-shaft shim,
7-arms,collar_4mm.stl,2,9 x 9 x 4,Pitch-shaft shim,
